[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 14100/20000 | loss 0.7032 | lr 5.17e-05 | 3.09 it/s
step 14150/20000 | loss 0.6476 | lr 5.11e-05 | 3.31 it/s
step 14200/20000 | loss 0.5511 | lr 5.04e-05 | 2.90 it/s
step 14250/20000 | loss 0.6516 | lr 4.98e-05 | 2.55 it/s
step 14300/20000 | loss 0.5450 | lr 4.92e-05 | 2.93 it/s
step 14350/20000 | loss 0.6544 | lr 4.85e-05 | 2.17 it/s
step 14400/20000 | loss 0.5574 | lr 4.79e-05 | 2.77 it/s
step 14450/20000 | loss 0.5618 | lr 4.73e-05 | 2.92 it/s
step 14500/20000 | loss 0.5613 | lr 4.66e-05 | 3.32 it/s
step 14550/20000 | loss 0.6386 | lr 4.60e-05 | 1.98 it/s
step 14600/20000 | loss 0.6870 | lr 4.54e-05 | 2.97 it/s
step 14650/20000 | loss 0.6265 | lr 4.48e-05 | 2.95 it/s
step 14700/20000 | loss 0.7256 | lr 4.42e-05 | 2.88 it/s
step 14750/20000 | loss 0.5507 | lr 4.36e-05 | 2.39 it/s
step 14800/20000 | loss 0.6404 | lr 4.30e-05 | 2.78 it/s
step 14850/20000 | loss 0.5737 | lr 4.24e-05 | 2.67 it/s
step 14900/20000 | loss 0.6597 | lr 4.18e-05 | 1.75 it/s
step 14950/20000 | loss 0.6389 | lr 4.12e-05 | 2.44 it/s
step 15000/20000 | loss 0.5323 | lr 4.07e-05 | 2.81 it/s
step 15050/20000 | loss 0.5431 | lr 4.01e-05 | 2.81 it/s
step 15100/20000 | loss 0.6771 | lr 3.95e-05 | 2.75 it/s
step 15150/20000 | loss 0.5993 | lr 3.89e-05 | 3.46 it/s
step 15200/20000 | loss 0.6320 | lr 3.84e-05 | 3.41 it/s
step 15250/20000 | loss 0.6461 | lr 3.78e-05 | 3.08 it/s
step 15300/20000 | loss 0.6837 | lr 3.73e-05 | 2.68 it/s
step 15350/20000 | loss 0.5804 | lr 3.67e-05 | 2.91 it/s
step 15400/20000 | loss 0.6543 | lr 3.62e-05 | 2.96 it/s
step 15450/20000 | loss 0.7195 | lr 3.56e-05 | 3.12 it/s
step 15500/20000 | loss 0.7061 | lr 3.51e-05 | 3.12 it/s
step 15550/20000 | loss 0.6647 | lr 3.46e-05 | 3.04 it/s
step 15600/20000 | loss 0.6088 | lr 3.41e-05 | 2.93 it/s
step 15650/20000 | loss 0.5660 | lr 3.35e-05 | 2.18 it/s
step 15700/20000 | loss 0.5547 | lr 3.30e-05 | 2.68 it/s
step 15750/20000 | loss 0.5947 | lr 3.25e-05 | 2.92 it/s
step 15800/20000 | loss 0.6748 | lr 3.20e-05 | 2.31 it/s
step 15850/20000 | loss 0.6074 | lr 3.15e-05 | 2.79 it/s
step 15900/20000 | loss 0.6303 | lr 3.10e-05 | 2.51 it/s
step 15950/20000 | loss 0.5914 | lr 3.05e-05 | 3.20 it/s
step 16000/20000 | loss 0.5788 | lr 3.00e-05 | 2.75 it/s
[val] step 16000: mode-B CER 21.41 | mode-A CER 21.36 | conditioning gain -0.05 | loss 0.6350
[val] new best CER 21.41 -> saved best.pt
step 16050/20000 | loss 0.6963 | lr 2.96e-05 | 2.20 it/s
step 16100/20000 | loss 0.6201 | lr 2.91e-05 | 2.30 it/s
step 16150/20000 | loss 0.5533 | lr 2.86e-05 | 3.31 it/s
step 16200/20000 | loss 0.6021 | lr 2.81e-05 | 3.23 it/s
step 16250/20000 | loss 0.5408 | lr 2.77e-05 | 2.25 it/s
step 16300/20000 | loss 0.7412 | lr 2.72e-05 | 2.23 it/s
step 16350/20000 | loss 0.6221 | lr 2.68e-05 | 2.87 it/s
step 16400/20000 | loss 0.6802 | lr 2.63e-05 | 2.46 it/s
step 16450/20000 | loss 0.7828 | lr 2.59e-05 | 2.60 it/s
step 16500/20000 | loss 0.7956 | lr 2.55e-05 | 2.64 it/s
step 16550/20000 | loss 0.5592 | lr 2.50e-05 | 3.36 it/s
step 16600/20000 | loss 0.6071 | lr 2.46e-05 | 2.53 it/s
