[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 29300/70000 | loss 1.8002 | lr 6.70e-04 | 2.53 it/s
step 29400/70000 | loss 1.8309 | lr 6.68e-04 | 2.30 it/s
step 29500/70000 | loss 1.8051 | lr 6.66e-04 | 2.83 it/s
step 29600/70000 | loss 1.7846 | lr 6.63e-04 | 3.18 it/s
step 29700/70000 | loss 1.8308 | lr 6.61e-04 | 2.64 it/s
step 29800/70000 | loss 1.8511 | lr 6.59e-04 | 2.00 it/s
step 29900/70000 | loss 1.8797 | lr 6.57e-04 | 2.15 it/s
step 30000/70000 | loss 1.9052 | lr 6.55e-04 | 2.61 it/s
[val] step 30000: mode-B CER 66.75 | mode-A CER 66.60 | conditioning gain -0.15 | loss 2.8653
step 30100/70000 | loss 1.7602 | lr 6.53e-04 | 2.27 it/s
step 30200/70000 | loss 1.7959 | lr 6.51e-04 | 2.90 it/s
step 30300/70000 | loss 1.8733 | lr 6.49e-04 | 2.36 it/s
step 30400/70000 | loss 1.8270 | lr 6.47e-04 | 2.75 it/s
step 30500/70000 | loss 1.7801 | lr 6.44e-04 | 2.47 it/s
step 30600/70000 | loss 1.7768 | lr 6.42e-04 | 2.52 it/s
step 30700/70000 | loss 1.8769 | lr 6.40e-04 | 2.74 it/s
step 30800/70000 | loss 1.7926 | lr 6.38e-04 | 2.55 it/s
step 30900/70000 | loss 1.7895 | lr 6.36e-04 | 2.51 it/s
step 31000/70000 | loss 1.8025 | lr 6.34e-04 | 2.87 it/s
step 31100/70000 | loss 1.7581 | lr 6.32e-04 | 2.99 it/s
step 31200/70000 | loss 1.8388 | lr 6.29e-04 | 2.60 it/s
step 31300/70000 | loss 1.7847 | lr 6.27e-04 | 3.41 it/s
step 31400/70000 | loss 1.7825 | lr 6.25e-04 | 2.22 it/s
step 31500/70000 | loss 1.8082 | lr 6.23e-04 | 2.47 it/s
step 31600/70000 | loss 1.7196 | lr 6.21e-04 | 2.40 it/s
step 31700/70000 | loss 1.8136 | lr 6.19e-04 | 2.77 it/s
step 31800/70000 | loss 1.7121 | lr 6.17e-04 | 2.54 it/s
step 31900/70000 | loss 1.7888 | lr 6.14e-04 | 2.52 it/s
step 32000/70000 | loss 1.7791 | lr 6.12e-04 | 2.41 it/s
step 32100/70000 | loss 1.8269 | lr 6.10e-04 | 2.49 it/s
step 32200/70000 | loss 1.7182 | lr 6.08e-04 | 2.79 it/s
step 32300/70000 | loss 1.6863 | lr 6.06e-04 | 2.47 it/s
step 32400/70000 | loss 1.8272 | lr 6.04e-04 | 2.30 it/s
step 32500/70000 | loss 1.8513 | lr 6.01e-04 | 2.86 it/s
[val] step 32500: mode-B CER 62.63 | mode-A CER 62.37 | conditioning gain -0.26 | loss 2.3601
step 32600/70000 | loss 1.8521 | lr 5.99e-04 | 2.63 it/s
step 32700/70000 | loss 1.8164 | lr 5.97e-04 | 2.40 it/s
step 32800/70000 | loss 1.7768 | lr 5.95e-04 | 2.85 it/s
step 32900/70000 | loss 1.7328 | lr 5.93e-04 | 3.06 it/s
step 33000/70000 | loss 1.7392 | lr 5.91e-04 | 2.81 it/s
step 33100/70000 | loss 1.7730 | lr 5.88e-04 | 2.13 it/s
step 33200/70000 | loss 1.8488 | lr 5.86e-04 | 3.04 it/s
step 33300/70000 | loss 1.8515 | lr 5.84e-04 | 2.30 it/s
step 33400/70000 | loss 1.7665 | lr 5.82e-04 | 2.94 it/s
